gb_id,title,subtitle,authors,publisher,pub_date,language,categories,isbn13,isbn10,price_amount,price_currency,goodreads_title_query,goodreads_author_query
EZAtAAAAQBAJ,Data Science for Business,What You Need to Know about Data Mining and Data-Analytic Thinking,"['Foster Provost', 'Tom Fawcett']","""O'Reilly Media, Inc.""",2013-07-27,en,['Business & Economics'],9781449374297,1449374298,,,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,Foster Provost
CfjpAQAAQBAJ,Data Smart,Using Data Science to Transform Information into Insight,['John W. Foreman'],John Wiley & Sons,2013-10-31,en,['Business & Economics'],9781118839867,1118839862,,,Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman
uDvwEAAAQBAJ,Mindmasters,The Data-Driven Science of Predicting and Changing Human Behavior,['Sandra Matz'],Harvard Business Press,2025-01-07,en,['Psychology'],9781647826321,1647826322,30.99,EUR,Mindmasters: The Data-Driven Science of Predicting and Changing Human Behavior,Sandra Matz
T2LeAQAACAAJ,Numsense! Data Science for the Layman,No Math Added,['Annalyn Ng'],Annalyn Ng & Kenneth Soo,2017-03-24,en,[],9789811110689,9811110689,,,Numsense! Data Science for the Layman: No Math Added,Annalyn Ng
rimgEAAAQBAJ,Python Data Science Handbook,,['Jake VanderPlas'],"""O'Reilly Media, Inc.""",2022-12-06,en,['Computers'],9781098121198,1098121198,,,Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas
UlpVDwAAQBAJ,Data Science,,"['John D. Kelleher', 'Brendan Tierney']",MIT Press,2018-04-13,en,['Computers'],9780262347037,0262347032,15.38,EUR,Data Science (The MIT Press Essential Knowledge series),John D. Kelleher
GCUqEAAAQBAJ,Becoming a Data Head,"How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","['Alex J. Gutman', 'Jordan Goldmeier']",John Wiley & Sons,2021-04-13,en,['Business & Economics'],9781119741763,1119741769,27.99,EUR,"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",Alex J. Gutman
FTsxEQAAQBAJ,Data Science Essentials For Dummies,,['Lillian Pierson'],John Wiley & Sons,2024-11-13,en,['Computers'],9781394297016,1394297017,10.99,EUR,Data Science For Dummies (For Dummies,Lillian Pierson
82iszgEACAAJ,Ace the Data Science Interview,"201 Real Interview Questions Asked by FAANG, Tech Startups, & Wall Street","['Kevin Huo', 'Nick Singh']",,2021,en,['Business & Economics'],9780578973838,0578973839,,,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",Kevin Huo
ZDH9DAEACAAJ,The Art of Data Science,,"['Roger D. Peng', 'Elizabeth Matsui']",,2016-06-08,en,['Business & Economics'],9781365061462,1365061469,,,The Art of Data Science: A Guide for Anyone Who Works with Data,Roger D. Peng
-OQ2q5JqOdEC,What Is Data Science?,,['Mike Loukides'],"""O'Reilly Media, Inc.""",2011-04-10,en,['Computers'],9781449336097,1449336094,0.0,EUR,What Is Data Science?,Mike Loukides
pyw1EAAAQBAJ,Minding the Machines,Building and Leading Data Science and Analytics Teams,['Jeremy Adamson'],John Wiley & Sons,2021-06-25,en,['Computers'],9781119785330,1119785332,25.99,EUR,Minding the Machines: Building and Leading Data Science and Analytics Teams,Jeremy  Adamson
